Bin Id,Site,Year,Completeness,Redundancy,Strain heterogeneity,Genome size (Mbp), # contigs,GC,Domain,Phylum,Class,Order,Family,Genus,SJO_Jan 2016_10cm_MP02,SJO_Jan 2016_20cm_MP02,SJO_Jan 2016_10cm_MP15,SJO_Jan 2016_20cm_MP15,BVA_Feb 2016_10cm_MP05,BVA_Feb 2016_20cm_MP05,BVA_Feb 2016_10cm_MP12,BVA_Feb 2016_20cm_MP12,QUI_Feb 2016_10cm_MP05,QUI_Feb 2016_20cm_MP05,QUI_Feb 2016_10cm_MP10,QUI_Feb 2016_20cm_MP10,SJO_Jul 2015_20cm_MP02,SJO_Jul 2015_20cm_MP15,BVA_Aug 2015_20cm_MP10,BVA_Aug 2015_20cm_MP04,QUI_Oct 2015_10cm_MP10,QUI_Oct 2015_20cm_MP10,QUI_Oct 2015_10cm_MP05,QUI_Oct 2015_20cm_MP05,SJO_Oct 2015_20cm_MP02,SJO_Oct 2015_20cm_MP15,BVA_Oct 2015_20cm_MP06,BVA_Oct 2015_20cm_MP10,Average_Abundance_at_Site
1015_Q2_concoct.136,Quistococha,15-Oct,96.2,6.84,10,3.960699,128,67.3,d__Bacteria,p__Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,f__UBA2999,g__2-12-FULL-65-11,,,,,,,,,,,,,,,,,4.817854924,0.570481613,6.86909741,2.87446608,,,,,3.782975007
0116_SJ02_599,San Jorge,16-Jan,70.39,4.93,14.29,1.467183,230,51.7,d__Archaea,p__Thermoproteota,c__Bathyarchaeia,o__40CM-2-53-6,f__40CM-2-53-6,g__40CM-2-53-6,0.934545935,2.057277131,4.507211475,0.057520861,,,,,,,,,,,,,,,,,,,,,1.889138851
1015_Q2.40_090,Quistococha,15-Oct,92.86,2.81,75,3.276995,392,68.1,d__Bacteria,p__Gemmatimonadota,c__Gemmatimonadetes,o__Gemmatimonadales,f__GWC2-71-9,g__40CM-2-70-7,,,,,,,,,,,,,,,,,4.397327047,0.383683525,6.791524438,4.381038473,,,,,3.988393371
0216_BV02_MP05.76,Buena Vista,16-Feb,72.61,2.16,33.33,1.984738,327,70.7,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Gaiellales,f__Gaiellaceae,g__AC-32,,,,,7.647237076,6.819934868,,,,,,,,,,,,,,,,,,,7.233585972
0216_BV02_MP12.21,Buena Vista,16-Feb,80.66,3.75,33.33,2.53261,398,70.7,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Gaiellales,f__Gaiellaceae,g__AC-32,,,,,,,5.186459397,12.64753284,,,,,,,,,,,,,,,,,8.916996119
0216_QUI02_8,Quistococha,16-Feb,56.78,5.68,10,1.964391,539,71,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Gaiellales,f__Gaiellaceae,g__AC-32,,,,,,,,,0.365389034,6.897602419,0.097305809,0.116776334,,,,,,,,,,,,,1.869268399
1015_BV01_21,Buena Vista,15-Oct,57.17,3.43,66.67,1.865097,417,70.7,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Gaiellales,f__Gaiellaceae,g__AC-32,,,,,,,,,,,,,,,,,,,,,,,2.647871109,9.049883492,5.848877301
0815_BV2_2,Buena Vista,15-Aug,81.86,0.93,100,2.407895,187,71.6,d__Bacteria,p__Actinobacteriota,c__UBA4738,o__UBA4738,f__HRBIN12,g__AC-51,,,,,,,,,,,,,,,3.160067252,10.96738119,,,,,,,,,7.063724221
0116_SJ02_219,San Jorge,16-Jan,82.08,1.21,16.67,4.083299,551,59.3,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidoferrales,f__UBA7541,g__Acidoferrum,3.637074372,3.650419917,0.910422947,0.117448144,,,,,,,,,,,,,,,,,,,,,2.078841345
0216_QUI02_236,Quistococha,16-Feb,87.65,2.56,0,4.38771,309,57.7,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidoferrales,f__UBA7541,g__Acidoferrum,,,,,,,,,0.329282652,0.065749778,4.467482144,5.359658422,,,,,,,,,,,,,2.555543249
0715_SJ02_BMC3C_857,San Jorge,15-Jul,59.83,9.4,25,2.775423,213,58,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidoferrales,f__UBA7541,g__Acidoferrum,,,,,,,,,,,,,9.129159395,9.847661436,,,,,,,,,,,9.488410416
0715_SJ02_27,San Jorge,15-Jul,77,4.7,50,4.060286,447,57.1,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidoferrales,f__UBA7541,g__Acidoferrum,,,,,,,,,,,,,8.846895939,1.541146071,,,,,,,,,,,5.194021005
0715_SJ02_40_035,San Jorge,15-Jul,77.87,5.7,22.22,5.042302,712,57.7,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidoferrales,f__UBA7541,g__Acidoferrum,,,,,,,,,,,,,8.250745013,18.42198188,,,,,,,,,,,13.33636345
1015_Q2.40_564,Quistococha,15-Oct,70.33,2.99,0,4.109379,407,57.4,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidoferrales,f__UBA7541,g__Acidoferrum,,,,,,,,,,,,,,,,,0.582565975,7.39904781,0.089574642,0.502127979,,,,,2.143329102
1015_Q2.40_611,Quistococha,15-Oct,80.24,4.32,71.43,3.965929,632,58.1,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidoferrales,f__UBA7541,g__Acidoferrum,,,,,,,,,,,,,,,,,0.306099007,10.37321305,0.431694258,18.35846168,,,,,7.367366999
1015_Q2.40_663,Quistococha,15-Oct,71.79,0.07,100,4.042209,233,57.3,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidoferrales,f__UBA7541,g__Acidoferrum,,,,,,,,,,,,,,,,,0.05353474,0.221023092,1.755997061,26.89820209,,,,,7.232189246
1015_Q2_213,Quistococha,15-Oct,81.69,9.46,0,4.728216,408,57.9,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidoferrales,f__UBA7541,g__Acidoferrum,,,,,,,,,,,,,,,,,4.016792347,8.895386613,1.447397057,6.872966968,,,,,5.308135746
1015_Q2_144,Quistococha,15-Oct,93.96,2.3,66.67,2.445671,375,68.6,d__Bacteria,p__Gemmatimonadota,c__Gemmatimonadetes,o__Gemmatimonadales,f__GWC2-71-9,g__AG25,,,,,,,,,,,,,,,,,6.862780382,9.681342519,1.68357619,3.250239672,,,,,5.369484691
0116_SJ02_336,San Jorge,16-Jan,75.12,7.99,41.67,3.972264,1235,64.2,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__ATCC43930,f__Stellaceae,g__AP-15,4.55225514,2.434537417,0.42987364,6.06630476,,,,,,,,,,,,,,,,,,,,,3.370742739
0116_SJ02_479,San Jorge,16-Jan,64.5,7.26,8,3.201725,994,66.6,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__ATCC43930,f__Stellaceae,g__AP-15,3.80518638,1.801379448,0.33367184,1.917345244,,,,,,,,,,,,,,,,,,,,,1.964395728
0715_SJ02_5,San Jorge,15-Jul,57.76,5.17,0,3.104181,326,65.5,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__ATCC43930,f__Stellaceae,g__AP-15,,,,,,,,,,,,,5.051141716,4.529767197,,,,,,,,,,,4.790454457
1015_Q2_298,Quistococha,15-Oct,77.65,4.71,28.57,3.710234,594,67.9,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__ATCC43930,f__Stellaceae,g__AP-15,,,,,,,,,,,,,,,,,1.119598162,3.250841854,2.029469329,1.820914366,,,,,2.055205928
0116_SJ02_374,San Jorge,16-Jan,75.46,2.58,18.18,6.123894,571,67.1,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae,g__AP-16,1.505747954,5.036236715,5.481916393,0.145695379,,,,,,,,,,,,,,,,,,,,,3.04239911
1015_SJ02_107_148,San Jorge,15-Oct,51.17,7.23,33.33,4.170219,1322,64,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae,g__AP-16,,,,,,,,,,,,,,,,,,,,,19.813218,1.120060839,,,10.46663942
0715_SJ02_concoct_50,San Jorge,15-Jul,76.06,3.59,90.91,2.964804,725,57.9,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Chromobacteriaceae,g__Aquitalea,,,,,,,,,,,,,9.038297368,3.226520105,,,,,,,,,,,6.132408737
1015_BV01_50,Buena Vista,15-Oct,52.16,2.59,0,3.852329,574,69.5,d__Bacteria,p__Methylomirabilota,c__Methylomirabilia,o__Rokubacteriales,f__CSP1-6,g__AR31,,,,,,,,,,,,,,,,,,,,,,,3.572154202,5.891270932,4.731712567
0815_BV2_concoct_9,Buena Vista,15-Aug,58.43,4.67,41.18,1.341628,498,54.6,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Chthoniobacterales,f__UBA10450,g__AV40,,,,,,,,,,,,,,,0.504213044,4.536905634,,,,,,,,,2.520559339
1015_Q2.107_027,Quistococha,15-Oct,95.95,7.64,25,2.49685,350,54.7,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Chthoniobacterales,f__UBA10450,g__AV40,,,,,,,,,,,,,,,,,8.473000914,0.985572046,7.969982124,2.995789365,,,,,5.106086112
1015_Q2.40_060,Quistococha,15-Oct,87.84,3.28,66.67,2.920758,439,54.8,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Chthoniobacterales,f__UBA10450,g__AV40,,,,,,,,,,,,,,,,,4.669165282,0.499033159,8.727748558,4.014955782,,,,,4.477725695
0815_BV2_46,Buena Vista,15-Aug,66.48,4.2,11.11,3.612202,873,66.6,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Hyphomicrobiaceae,g__AWTP1-13,,,,,,,,,,,,,,,4.094332819,2.579572949,,,,,,,,,3.336952884
1015_SJ02_concoct_138,San Jorge,15-Oct,65.15,9.16,25,3.447643,797,66.9,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Hyphomicrobiaceae,g__AWTP1-13,,,,,,,,,,,,,,,,,,,,,6.151161858,0.326569653,,,3.238865756
0116_SJ02_40_082,San Jorge,16-Jan,69.55,4.22,57.14,3.093221,1153,58.1,d__Bacteria,p__Desulfobacterota_G,c__Syntrophorhabdia,o__Syntrophorhabdales,f__WCHB1-27,g__BOG-1155,6.32876187,7.436381517,3.940202334,3.500567619,,,,,,,,,,,,,,,,,,,,,5.301478335
0715_SJ02_164,San Jorge,15-Jul,67.59,7.24,41.67,4.876432,959,58,d__Bacteria,p__Desulfobacterota_G,c__Syntrophorhabdia,o__Syntrophorhabdales,f__WCHB1-27,g__BOG-1155,,,,,,,,,,,,,2.919818428,4.876335564,,,,,,,,,,,3.898076996
0715_SJ02_43,San Jorge,15-Jul,91.67,7.12,13.51,4.410019,184,64.9,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Steroidobacterales,f__Steroidobacteraceae,g__Bog-1198,,,,,,,,,,,,,6.675330728,5.890224513,,,,,,,,,,,6.282777621
1015_Q2.40_239,Quistococha,15-Oct,86.91,2.43,66.67,1.558173,217,58.4,d__Archaea,p__Thermoproteota,c__Nitrososphaeria,o__Nitrososphaerales,f__UBA183,g__BOG-1369,,,,,,,,,,,,,,,,,2.25960207,3.72361085,1.502115991,1.577827349,,,,,2.265789065
0116_SJ02_concoct.171,San Jorge,16-Jan,66.32,9.65,47.37,4.010818,1352,60.8,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Bryobacterales,f__Bryobacteraceae,g__BOG-234,0.321099263,3.057806612,2.336859683,0.082158671,,,,,,,,,,,,,,,,,,,,,1.449481057
0116_SJ02_40_599,San Jorge,16-Jan,51.12,0,0,2.426914,301,63,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Bryobacterales,f__Bryobacteraceae,g__BOG-234,0.071336087,1.151566589,7.604016617,0.083023792,,,,,,,,,,,,,,,,,,,,,2.227485771
1015_SJ02_244,San Jorge,15-Oct,78.44,5.98,37.5,5.14101,874,57.5,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__UBA7540,f__UBA7540,g__Bog-366,,,,,,,,,,,,,,,,,,,,,6.113522394,3.179193801,,,4.646358098
0116_SJ02_313,San Jorge,16-Jan,88.27,4.84,40,1.747171,269,52,d__Archaea,p__Halobacteriota,c__Bog-38,o__Bog-38,f__Bog-38,g__Bog-38,4.283491681,26.99254932,7.084340421,0.475303691,,,,,,,,,,,,,,,,,,,,,9.708921278
0116_SJ02_340,San Jorge,16-Jan,75.14,4.14,40,1.294733,235,52,d__Archaea,p__Halobacteriota,c__Bog-38,o__Bog-38,f__Bog-38,g__Bog-38,3.185401297,2.965060778,0.685139479,3.091744991,,,,,,,,,,,,,,,,,,,,,2.481836636
0715_SJ02_122,San Jorge,15-Jul,89.54,2.61,40,1.856078,153,51.6,d__Archaea,p__Halobacteriota,c__Bog-38,o__Bog-38,f__Bog-38,g__Bog-38,,,,,,,,,,,,,4.190015545,6.391165337,,,,,,,,,,,5.290590441
1015_Q2.40_542,Quistococha,15-Oct,66.57,3.97,66.67,1.061616,321,51.9,d__Archaea,p__Halobacteriota,c__Bog-38,o__Bog-38,f__Bog-38,g__Bog-38,,,,,,,,,,,,,,,,,0.487771257,7.794675297,0.862562256,2.429790091,,,,,2.893699725
1015_SJ02_44,San Jorge,15-Oct,56.54,0.65,0,1.232423,43,51.6,d__Archaea,p__Halobacteriota,c__Bog-38,o__Bog-38,f__Bog-38,g__Bog-38,,,,,,,,,,,,,,,,,,,,,0.023677817,10.01577598,,,5.019726899
0116_SJ02_107_076,San Jorge,16-Jan,88.17,6,63.64,3.09081,609,72.1,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Acidimicrobiales,f__RAAP-2,g__Bog-473,5.548499529,5.152568693,1.822674498,1.059369667,,,,,,,,,,,,,,,,,,,,,3.395778097
0715_SJ02_84,San Jorge,15-Jul,74.83,5.73,25,4.439517,582,69.2,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Acidimicrobiales,f__RAAP-2,g__Bog-473,,,,,,,,,,,,,5.980529273,4.379408994,,,,,,,,,,,5.179969134
1015_Q2_524,Quistococha,15-Oct,71.55,5.73,62.5,3.795189,745,70.4,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Acidimicrobiales,f__RAAP-2,g__Bog-473,,,,,,,,,,,,,,,,,0.358596126,5.437843328,0.656624951,4.999633272,,,,,2.863174419
1015_Q2_584,Quistococha,15-Oct,50.47,2.56,25,2.084047,487,70.6,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Acidimicrobiales,f__RAAP-2,g__Bog-473,,,,,,,,,,,,,,,,,2.614105767,0.522121927,3.08100944,0.958394795,,,,,1.793907982
1015_Q2_66,Quistococha,15-Oct,55.18,3.26,0,2.421471,455,71.5,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Acidimicrobiales,f__RAAP-2,g__Bog-473,,,,,,,,,,,,,,,,,1.856451596,3.887984794,2.519502895,1.941445549,,,,,2.551346209
0715_SJ02_28,San Jorge,15-Jul,62.38,9.05,7.14,3.018216,1072,64.7,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Acidimicrobiales,f__UBA8190,g__Bog-564,,,,,,,,,,,,,3.547820747,1.820279947,,,,,,,,,,,2.684050347
0116_SJ02_307,San Jorge,16-Jan,91.03,2.56,33.33,1.687479,113,68.5,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Acidimicrobiales,f__Bog-793,g__Bog-793,1.780677608,6.433612763,13.48196213,0.151022725,,,,,,,,,,,,,,,,,,,,,5.461818807
0116_SJ02_40_024,San Jorge,16-Jan,60.14,5.3,100,2.45519,898,62,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae,g__BOG-931,15.95827462,8.369692986,1.981081895,8.009246751,,,,,,,,,,,,,,,,,,,,,8.579574063
0116_SJ02_460,San Jorge,16-Jan,80.74,7.73,20.59,3.606655,619,65.7,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae,g__BOG-931,10.05282174,4.789085647,1.07676447,5.494751341,,,,,,,,,,,,,,,,,,,,,5.3533558
0116_SJ02_539,San Jorge,16-Jan,88.58,9.26,14.29,4.170118,508,64.2,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae,g__BOG-931,8.14656065,5.670094898,0.703497865,2.998555811,,,,,,,,,,,,,,,,,,,,,4.379677306
0116_SJ02_571,San Jorge,16-Jan,77.54,7.71,18.75,3.841835,803,62.9,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae,g__BOG-931,2.566159368,5.939018038,0.846354163,0.999476927,,,,,,,,,,,,,,,,,,,,,2.587752124
0216_QUI02_172,Quistococha,16-Feb,82.01,2.82,100,3.059839,431,61.6,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae,g__BOG-931,,,,,,,,,12.33869072,0.145894767,0.492659252,2.887168376,,,,,,,,,,,,,3.966103279
1015_Q2_477,Quistococha,15-Oct,95.61,2.22,14.29,3.684653,224,61.8,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae,g__BOG-931,,,,,,,,,,,,,,,,,2.635060414,12.79959838,7.515604964,13.35784926,,,,,9.077028255
1015_Q2_587,Quistococha,15-Oct,79.68,8.54,55.32,3.462232,639,65.8,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae,g__BOG-931,,,,,,,,,,,,,,,,,3.96527034,8.431029902,5.432281861,5.645367213,,,,,5.868487329
1015_SJ02_107_023,San Jorge,15-Oct,65.9,4.47,39.13,2.902594,865,65.7,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae,g__BOG-931,,,,,,,,,,,,,,,,,,,,,10.92665879,17.65236283,,,14.28951081
1015_SJ02_124,San Jorge,15-Oct,50.37,3.45,0,2.626412,698,64.6,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae,g__BOG-931,,,,,,,,,,,,,,,,,,,,,7.720695812,5.143971776,,,6.432333794
1015_SJ02_150,San Jorge,15-Oct,53,4.93,25,2.740819,488,64.7,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae,g__BOG-931,,,,,,,,,,,,,,,,,,,,,0.367026408,10.28343474,,,5.325230574
1015_SJ02_40_065,San Jorge,15-Oct,61.17,4.72,70,2.296284,854,61.8,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae,g__BOG-931,,,,,,,,,,,,,,,,,,,,,43.48113465,7.948270285,,,25.71470247
1015_SJ02_51,San Jorge,15-Oct,62.4,8.02,20.59,2.495382,669,62.8,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae,g__BOG-931,,,,,,,,,,,,,,,,,,,,,9.764343403,0.872816674,,,5.318580039
1015_Q2_589,Quistococha,15-Oct,65.42,1.94,66.67,2.925958,527,72.9,d__Bacteria,p__Myxococcota_A,c__UBA9160,o__UBA9160,f__PR03,g__CAADGG01,,,,,,,,,,,,,,,,,2.694175043,0.348464023,4.129525449,1.81899484,,,,,2.247789839
1015_Q2_299,Quistococha,15-Oct,88.51,8.74,0,3.238825,565,46.9,d__Archaea,p__Thermoproteota,c__Nitrososphaeria,o__Nitrososphaerales,f__CADDZS01,g__CADDZS01,,,,,,,,,,,,,,,,,0.9353765,1.453576901,3.09550955,1.700879524,,,,,1.796335619
1015_SJ02_166,San Jorge,15-Oct,52.63,2.43,33.33,2.020417,338,47.3,d__Archaea,p__Thermoproteota,c__Nitrososphaeria,o__Nitrososphaerales,f__CADDZS01,g__CADDZS01,,,,,,,,,,,,,,,,,,,,,1.003028224,5.421884725,,,3.212456475
0116_SJ02_494,San Jorge,16-Jan,59.77,4.07,33.33,2.281717,610,69.9,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Steroidobacterales,f__Steroidobacteraceae,g__CAIKZZ01,2.146681212,2.254091445,1.716329264,0.234906367,,,,,,,,,,,,,,,,,,,,,1.588002072
0216_QUI02_concoct_80,Quistococha,16-Feb,68.42,5.26,33.33,4.239496,1042,48.6,d__Bacteria,p__Chloroflexota,c__Ktedonobacteria,o__Ktedonobacterales,f__Ktedonobacteraceae,g__CF-113,,,,,,,,,0.273110087,1.215626587,2.198714692,4.890207084,,,,,,,,,,,,,2.144414613
1015_Q2_120,Quistococha,15-Oct,92.02,6.93,28.57,5.58903,757,48.8,d__Bacteria,p__Chloroflexota,c__Ktedonobacteria,o__Ktedonobacterales,f__Ktedonobacteraceae,g__CF-113,,,,,,,,,,,,,,,,,3.082901439,6.445602738,5.455516451,3.120447432,,,,,4.526117015
1015_SJ02_49,San Jorge,15-Oct,53.45,6.9,0,3.977225,959,71,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptosporangiales,f__Streptosporangiaceae,g__Chersky-822,,,,,,,,,,,,,,,,,,,,,3.747118545,8.352863306,,,6.049990926
1015_Q2.40_508,Quistococha,15-Oct,84.45,3.07,33.33,3.304554,424,74.3,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Acidimicrobiales,f__UBA8190,g__Chersky-840,,,,,,,,,,,,,,,,,0.911577669,5.101984668,1.038126884,2.186755508,,,,,2.309611182
1015_SJ02_BMC3C_976,San Jorge,15-Oct,64.63,2.78,66.67,1.382434,60,62.7,d__Bacteria,p__Eremiobacterota,c__Eremiobacteria,o__Baltobacterales,f__Baltobacteraceae,g__Cybelea,,,,,,,,,,,,,,,,,,,,,10.99745024,0.107717393,,,5.552583817
1015_SJ02_193,San Jorge,15-Oct,56.28,3.24,25,1.679648,480,63,d__Bacteria,p__Eremiobacterota,c__Eremiobacteria,o__Baltobacterales,f__Baltobacteraceae,g__Cybelea,,,,,,,,,,,,,,,,,,,,,4.11646384,2.238095924,,,3.177279882
1015_SJ02_218,San Jorge,15-Oct,65.93,1.39,50,1.879438,147,63,d__Bacteria,p__Eremiobacterota,c__Eremiobacteria,o__Baltobacterales,f__Baltobacteraceae,g__Cybelea,,,,,,,,,,,,,,,,,,,,,14.15988673,0.219263265,,,7.189574998
0815_BV2_51,Buena Vista,15-Aug,69.25,5.88,0,3.991721,1210,49.7,d__Bacteria,p__Desulfobacterota,c__Desulfomonilia,o__Desulfomonilales,f__Desulfomonilaceae,g__Desulfomonile,,,,,,,,,,,,,,,2.357301503,3.278694002,,,,,,,,,2.817997753
0216_BV02_MP05.7,Buena Vista,16-Feb,81.91,8.09,26.67,4.756201,1375,55,d__Bacteria,p__Desulfobacterota_B,c__Binatia,o__UBA9968,f__UBA9968,g__DP-20,,,,,5.450194842,3.869802992,,,,,,,,,,,,,,,,,,,4.659998917
0216_BV02_MP12.31,Buena Vista,16-Feb,79.95,6.02,14.29,4.19295,1199,54.8,d__Bacteria,p__Desulfobacterota_B,c__Binatia,o__UBA9968,f__UBA9968,g__DP-20,,,,,,,3.009808872,3.728125759,,,,,,,,,,,,,,,,,3.368967316
1015_BV01_3,Buena Vista,15-Oct,76.82,4.75,11.11,6.068183,1914,54.5,d__Bacteria,p__Desulfobacterota_B,c__Binatia,o__UBA9968,f__UBA9968,g__DP-20,,,,,,,,,,,,,,,,,,,,,,,2.938648835,3.285464924,3.11205688
0116_SJ02_107_027,San Jorge,16-Jan,50.09,4.03,42.86,1.205971,414,49.2,d__Archaea,p__Thermoproteota,c__Bathyarchaeia,o__B26-1,f__UBA233,g__DRUK01,10.63328938,4.6607022,1.667930656,4.104507517,,,,,,,,,,,,,,,,,,,,,5.266607438
0116_SJ02_40_019,San Jorge,16-Jan,62.14,9.96,33.33,1.187019,420,47.7,d__Archaea,p__Thermoproteota,c__Bathyarchaeia,o__B26-1,f__UBA233,g__DRUK01,17.17451488,18.0900583,9.795253626,0.742083664,,,,,,,,,,,,,,,,,,,,,11.45047762
1015_BV01_concoct_2,Buena Vista,15-Oct,58.88,3.34,20,1.014321,389,47.7,d__Archaea,p__Thermoproteota,c__Bathyarchaeia,o__B26-1,f__UBA233,g__DRUK01,,,,,,,,,,,,,,,,,,,,,,,4.767227469,0.388383929,2.577805699
1015_Q2.107_481,Quistococha,15-Oct,61.84,4.36,83.33,1.003391,279,48.5,d__Archaea,p__Thermoproteota,c__Bathyarchaeia,o__B26-1,f__UBA233,g__DRUK01,,,,,,,,,,,,,,,,,0.198025438,13.88133067,0.247500768,3.051250515,,,,,4.344526848
1015_BV01_40_011,Buena Vista,15-Oct,72.63,5.91,57.14,2.566415,627,68.2,d__Bacteria,p__Chloroflexota,c__Anaerolineae,o__Anaerolineales,f__E44-bin32,g__DSPQ01,,,,,,,,,,,,,,,,,,,,,,,4.138017517,6.678587202,5.40830236
0116_SJ02_40_507,San Jorge,16-Jan,58.58,3.23,40,2.238889,647,60.3,d__Bacteria,p__Desulfobacterota_B,c__Binatia,o__Binatales,f__Binataceae,g__DTIX01,0.421717403,1.656143606,6.05967631,0.056772925,,,,,,,,,,,,,,,,,,,,,2.048577561
0116_SJ02_40_182,San Jorge,16-Jan,86.41,2.91,75,1.669216,181,59.1,d__Archaea,p__Thermoproteota,c__Nitrososphaeria,o__Conexivisphaerales,f__DTJL01,g__DTJL01,2.667928084,6.43917363,8.606075125,0.224304539,,,,,,,,,,,,,,,,,,,,,4.484370345
1015_Q2_553,Quistococha,15-Oct,87.69,5.27,58.33,3.28568,602,60,d__Bacteria,p__Desulfobacterota,c__Desulfobaccia,o__Desulfobaccales,f__0-14-0-80-60-11,g__DTKJ01,,,,,,,,,,,,,,,,,1.352713423,2.217024671,2.152569684,2.01149115,,,,,1.933449732
0116_SJ02_611,San Jorge,16-Jan,60.06,1.29,0,2.095489,487,48.6,d__Bacteria,p__Desulfobacterota,c__Syntrophia,o__Syntrophales,f__UBA2185,g__Fen-1135,2.313714159,1.621607562,1.978882854,0.050786247,,,,,,,,,,,,,,,,,,,,,1.491247706
1015_BV01_1,Buena Vista,15-Oct,67.43,9.46,28,2.37258,733,48.6,d__Bacteria,p__Desulfobacterota,c__Syntrophia,o__Syntrophales,f__UBA2185,g__Fen-1135,,,,,,,,,,,,,,,,,,,,,,,3.246344653,2.703572333,2.974958493
0216_BV02_MP05.63,Buena Vista,16-Feb,63.15,1.26,66.67,2.869204,399,70.8,d__Bacteria,p__Gemmatimonadota,c__Gemmatimonadetes,o__Gemmatimonadales,f__JACORV01,g__Fen-1245,,,,,5.604943878,4.947808253,,,,,,,,,,,,,,,,,,,5.276376066
1015_Q2_302,Quistococha,15-Oct,87.3,2.85,75,3.13512,556,73.3,d__Bacteria,p__Gemmatimonadota,c__Gemmatimonadetes,o__Gemmatimonadales,f__JACORV01,g__Fen-1245,,,,,,,,,,,,,,,,,11.4860938,2.430048686,10.04137258,5.244975175,,,,,7.30062256
1015_Q2_349,Quistococha,15-Oct,84.2,2.2,50,3.28678,364,72.7,d__Bacteria,p__Gemmatimonadota,c__Gemmatimonadetes,o__Gemmatimonadales,f__JACORV01,g__Fen-1245,,,,,,,,,,,,,,,,,6.805766095,8.086908872,2.45909917,10.73118121,,,,,7.020738837
